               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12121,            0.023809,            0.045599,           0.0014093,             0.25626,           0.0024972,          0.00054384,            0.097872,            0.019885,            0.041667,               0.082,               0.002,               0.002
                   1,            0.088348,            0.021625,            0.037343,             0.60278,             0.14402,             0.12772,            0.045714,            0.075645,            0.019555,            0.037608,            0.063073,           0.0040729,           0.0040729
                   2,            0.073443,            0.018935,            0.034563,             0.11718,             0.45246,             0.17878,            0.055528,            0.068624,            0.017271,            0.033112,            0.044118,           0.0061182,           0.0061182
                   3,            0.070636,            0.016806,            0.031465,             0.21665,             0.33065,             0.27129,            0.095008,            0.073531,            0.015821,            0.028058,            0.025136,           0.0081357,           0.0081357
                   4,            0.069182,            0.015036,            0.027913,             0.47418,             0.33918,             0.26831,            0.088286,            0.078446,            0.018418,            0.022075,            0.009736,            0.009736,            0.009736
                   5,            0.063721,            0.013567,            0.022108,             0.36439,              0.7422,               0.551,             0.25647,            0.069646,            0.014207,            0.018102,            0.009736,            0.009736,            0.009736
                   6,            0.057791,             0.01173,             0.01822,             0.37016,             0.77512,             0.53557,             0.27458,            0.064746,            0.015758,            0.014547,             0.00967,             0.00967,             0.00967
                   7,            0.054571,            0.010562,            0.015913,             0.56482,             0.78888,             0.75251,             0.43992,            0.055121,             0.01083,            0.013127,            0.009604,            0.009604,            0.009604
                   8,             0.05081,            0.010507,            0.014453,              0.7632,             0.84158,             0.88476,             0.52216,            0.050632,            0.010108,            0.011662,            0.009538,            0.009538,            0.009538
                   9,             0.05009,           0.0093637,            0.011274,             0.81223,             0.81872,             0.88742,             0.46116,            0.046534,            0.010169,            0.010313,            0.009472,            0.009472,            0.009472
                  10,            0.047723,           0.0090535,            0.010924,             0.79431,             0.89384,             0.87237,             0.47959,             0.03995,           0.0093721,           0.0074328,            0.009406,            0.009406,            0.009406
                  11,            0.043697,           0.0084567,           0.0079624,              0.8412,             0.90577,             0.90437,             0.51028,             0.04134,           0.0085688,           0.0060966,             0.00934,             0.00934,             0.00934
                  12,            0.043815,           0.0079919,           0.0074858,             0.88394,             0.85017,             0.92754,             0.53808,            0.050819,           0.0081749,           0.0052244,            0.009274,            0.009274,            0.009274
                  13,            0.045739,           0.0080437,           0.0078485,             0.83628,             0.86175,             0.89458,             0.57901,            0.042899,            0.007998,           0.0055995,            0.009208,            0.009208,            0.009208
                  14,            0.040992,           0.0074701,           0.0065009,             0.95119,             0.91156,              0.9669,              0.6444,            0.042247,           0.0079433,           0.0050535,            0.009142,            0.009142,            0.009142
                  15,            0.041233,           0.0073103,           0.0056061,             0.95425,             0.96436,             0.98316,             0.65205,            0.036679,           0.0074679,           0.0058263,            0.009076,            0.009076,            0.009076
                  16,            0.040135,            0.007236,           0.0055276,             0.97205,              0.9462,             0.98016,             0.68275,            0.036315,            0.007716,           0.0053096,             0.00901,             0.00901,             0.00901
                  17,             0.03689,           0.0076748,           0.0055266,             0.92878,              0.9058,             0.96238,             0.65309,             0.03918,           0.0076955,           0.0050336,            0.008944,            0.008944,            0.008944
                  18,            0.036539,           0.0070194,           0.0058044,             0.95888,             0.93802,             0.97319,              0.6923,            0.032624,           0.0071092,           0.0047389,            0.008878,            0.008878,            0.008878
                  19,            0.037048,           0.0067594,           0.0049922,             0.95002,              0.9385,             0.97037,             0.69757,            0.032024,           0.0072417,           0.0043432,            0.008812,            0.008812,            0.008812
                  20,            0.036426,           0.0067113,           0.0046306,              0.8943,             0.89533,             0.93853,             0.66228,            0.033226,           0.0072004,           0.0055511,            0.008746,            0.008746,            0.008746
                  21,            0.035718,           0.0065568,           0.0048458,             0.93048,              0.9105,             0.96323,             0.68978,            0.033895,           0.0072581,           0.0047523,             0.00868,             0.00868,             0.00868
                  22,            0.037341,           0.0067561,           0.0054817,               0.953,             0.89597,             0.94592,             0.64563,            0.030001,           0.0079786,           0.0053337,            0.008614,            0.008614,            0.008614
                  23,            0.034564,           0.0071614,           0.0047766,             0.97923,             0.90992,             0.95173,             0.63533,            0.031565,           0.0076694,           0.0050603,            0.008548,            0.008548,            0.008548
                  24,            0.033539,            0.007002,           0.0047562,             0.95232,             0.93522,             0.96808,              0.6854,            0.027509,           0.0072746,           0.0046692,            0.008482,            0.008482,            0.008482
                  25,            0.033096,           0.0071045,           0.0052191,             0.94443,             0.92252,             0.95866,             0.70092,            0.028303,           0.0075165,            0.004715,            0.008416,            0.008416,            0.008416
